

inst#,actual,predicted,error,prediction
1568,2:normal,2:normal,,0.67
1569,2:normal,2:normal,,0.612
1570,2:normal,2:normal,,0.612
1571,2:normal,2:normal,,0.594
1572,2:normal,2:normal,,0.612
1573,2:normal,2:normal,,0.594
1574,2:normal,2:normal,,0.671
1575,2:normal,2:normal,,0.594
1576,2:normal,2:normal,,0.594
1577,2:normal,2:normal,,0.671
1578,2:normal,2:normal,,0.594
1579,2:normal,2:normal,,0.612
1580,2:normal,2:normal,,0.514
1581,2:normal,2:normal,,0.514
1582,2:normal,2:normal,,0.612
1583,1:anormal,2:normal,+,0.612
1584,1:anormal,2:normal,+,0.612
1585,1:anormal,2:normal,+,0.612
1586,1:anormal,2:normal,+,0.612
1587,2:normal,2:normal,,0.514
1588,2:normal,2:normal,,0.612
1589,2:normal,2:normal,,0.514
1590,2:normal,2:normal,,0.514
1591,2:normal,2:normal,,0.612
1592,2:normal,2:normal,,0.514
1593,2:normal,2:normal,,0.514
1594,2:normal,2:normal,,0.612
1595,2:normal,2:normal,,0.514
1596,2:normal,2:normal,,0.612
1597,2:normal,2:normal,,0.514
1598,2:normal,2:normal,,0.612
1599,2:normal,1:anormal,+,0.565
1600,2:normal,1:anormal,+,0.565
1601,2:normal,2:normal,,0.612
1602,2:normal,2:normal,,0.612
1603,2:normal,1:anormal,+,0.565
1604,2:normal,2:normal,,0.612
1605,2:normal,1:anormal,+,0.565
1606,2:normal,2:normal,,0.593
1607,1:anormal,2:normal,+,0.593
1608,1:anormal,2:normal,+,0.593
1609,2:normal,2:normal,,0.522
1610,1:anormal,2:normal,+,0.522
1611,1:anormal,2:normal,+,0.522
1612,2:normal,2:normal,,0.655
1613,2:normal,2:normal,,0.522
1614,2:normal,2:normal,,0.522
1615,2:normal,2:normal,,0.522
1616,2:normal,2:normal,,0.522
1617,2:normal,2:normal,,0.522
1618,2:normal,2:normal,,0.655
1619,2:normal,2:normal,,0.522
1620,2:normal,1:anormal,+,0.824
1621,2:normal,2:normal,,0.534
1622,2:normal,2:normal,,0.655
1623,2:normal,2:normal,,0.534
1624,2:normal,2:normal,,0.534
1625,2:normal,2:normal,,0.534
1626,2:normal,2:normal,,0.534
1627,2:normal,2:normal,,0.534
1628,1:anormal,2:normal,+,0.534
1629,1:anormal,2:normal,+,0.534
1630,2:normal,1:anormal,+,0.85
1631,2:normal,2:normal,,0.879
1632,1:anormal,2:normal,+,0.879
1633,2:normal,2:normal,,0.534
1634,2:normal,2:normal,,0.655
1635,2:normal,2:normal,,0.534
1636,2:normal,2:normal,,0.655
1637,2:normal,2:normal,,0.534
1638,2:normal,2:normal,,0.655
1639,2:normal,2:normal,,0.534
1640,2:normal,2:normal,,0.655
1641,2:normal,2:normal,,0.534
1642,2:normal,2:normal,,0.655
1643,2:normal,2:normal,,0.654
1644,2:normal,2:normal,,0.534
1645,2:normal,2:normal,,0.654
1646,2:normal,2:normal,,0.654
1647,2:normal,2:normal,,0.522
1648,2:normal,2:normal,,0.654
1649,2:normal,2:normal,,0.654
1650,2:normal,2:normal,,0.654
1651,2:normal,2:normal,,0.522
1652,2:normal,2:normal,,0.723
1653,2:normal,1:anormal,+,0.783
1654,1:anormal,1:anormal,,0.783
1655,2:normal,1:anormal,+,0.805
1656,2:normal,1:anormal,+,0.805
1657,2:normal,2:normal,,0.514
1658,2:normal,2:normal,,0.514
1659,2:normal,2:normal,,0.594
1660,1:anormal,2:normal,+,0.594
1661,2:normal,1:anormal,+,0.914
1662,2:normal,2:normal,,0.594
1663,2:normal,2:normal,,0.594
1664,2:normal,2:normal,,0.559
1665,2:normal,2:normal,,0.602
1666,2:normal,2:normal,,0.67
1667,2:normal,2:normal,,0.67
1668,2:normal,1:anormal,+,0.789
1669,2:normal,2:normal,,0.789
1670,2:normal,1:anormal,+,0.595
1671,2:normal,2:normal,,0.713
1672,2:normal,2:normal,,0.581
1673,2:normal,2:normal,,0.713
1674,2:normal,2:normal,,0.581
1675,2:normal,1:anormal,+,0.576
1676,2:normal,2:normal,,0.581
1677,2:normal,1:anormal,+,0.576
1678,2:normal,2:normal,,0.581
1679,2:normal,1:anormal,+,0.576
1680,2:normal,2:normal,,0.581
1681,2:normal,1:anormal,+,0.576
1682,2:normal,1:anormal,+,0.576
1683,1:anormal,1:anormal,,0.576
1684,2:normal,1:anormal,+,0.576
1685,2:normal,2:normal,,0.742
1686,2:normal,1:anormal,+,0.944
1687,2:normal,2:normal,,0.713
1688,2:normal,2:normal,,0.713
1689,1:anormal,1:anormal,,0.731
1690,2:normal,2:normal,,0.579
1691,2:normal,1:anormal,+,0.789
1692,2:normal,2:normal,,0.602
1693,1:anormal,1:anormal,,0.969
1694,2:normal,2:normal,,0.671
1695,2:normal,2:normal,,0.671
1696,2:normal,2:normal,,0.671
1697,2:normal,2:normal,,0.671
1698,2:normal,1:anormal,+,0.857
1699,1:anormal,1:anormal,,0.857
1700,2:normal,2:normal,,0.612
1701,2:normal,2:normal,,0.612
1702,2:normal,2:normal,,0.612
1703,1:anormal,1:anormal,,0.878
1704,2:normal,1:anormal,+,0.878
1705,1:anormal,1:anormal,,0.864
1706,2:normal,1:anormal,+,0.864
1707,1:anormal,1:anormal,,0.824
1708,2:normal,1:anormal,+,0.824
1709,2:normal,2:normal,,0.534
1710,2:normal,2:normal,,0.879
1711,2:normal,2:normal,,0.879
1712,2:normal,2:normal,,0.534
1713,2:normal,2:normal,,0.879
1714,2:normal,2:normal,,0.522
1715,2:normal,2:normal,,0.923
1716,2:normal,2:normal,,0.522
1717,2:normal,2:normal,,0.723
1718,2:normal,2:normal,,0.792
1719,2:normal,2:normal,,0.612
1720,2:normal,2:normal,,0.929
1721,2:normal,2:normal,,0.594
1722,2:normal,2:normal,,0.612
1723,2:normal,2:normal,,0.594
1724,2:normal,2:normal,,0.594
1725,1:anormal,2:normal,+,0.594
1726,1:anormal,2:normal,+,0.594
1727,2:normal,1:anormal,+,0.565
1728,2:normal,1:anormal,+,0.565
1729,2:normal,2:normal,,0.514
1730,2:normal,1:anormal,+,0.805
1731,2:normal,2:normal,,0.671
1732,1:anormal,2:normal,+,0.671
1733,2:normal,2:normal,,0.671
1734,2:normal,2:normal,,0.514
1735,2:normal,2:normal,,0.514
1736,2:normal,2:normal,,0.602
1737,2:normal,2:normal,,0.514
1738,2:normal,2:normal,,0.602
1739,2:normal,2:normal,,0.514
1740,2:normal,1:anormal,+,0.789
1741,2:normal,1:anormal,+,0.969
1742,2:normal,2:normal,,0.514
1743,2:normal,2:normal,,0.671
1744,2:normal,2:normal,,0.514
1745,2:normal,2:normal,,0.671
1746,2:normal,2:normal,,0.671
1747,2:normal,2:normal,,0.514
1748,2:normal,2:normal,,0.612
1749,2:normal,2:normal,,0.612
1750,2:normal,2:normal,,0.612
1751,2:normal,2:normal,,0.612
1752,2:normal,2:normal,,0.514
1753,2:normal,2:normal,,0.612
1754,2:normal,2:normal,,0.612
1755,2:normal,1:anormal,+,0.783
1756,1:anormal,1:anormal,,0.783
1757,2:normal,2:normal,,0.612
1758,2:normal,2:normal,,0.612
1759,2:normal,1:anormal,+,0.783
1760,1:anormal,1:anormal,,0.783
1761,2:normal,2:normal,,0.612
1762,2:normal,2:normal,,0.514
1763,2:normal,2:normal,,0.612
1764,2:normal,2:normal,,0.612
1765,2:normal,2:normal,,0.612
1766,2:normal,2:normal,,0.612
1767,2:normal,2:normal,,0.514
1768,2:normal,2:normal,,0.612
1769,2:normal,2:normal,,0.612
1770,2:normal,2:normal,,0.612
1771,2:normal,2:normal,,0.514
1772,2:normal,2:normal,,0.612
1773,2:normal,2:normal,,0.612
1774,2:normal,2:normal,,0.514
1775,2:normal,2:normal,,0.612
1776,2:normal,2:normal,,0.514
1777,2:normal,2:normal,,0.612
1778,2:normal,2:normal,,0.514
1779,2:normal,2:normal,,0.612
1780,2:normal,2:normal,,0.514
1781,2:normal,2:normal,,0.612
1782,1:anormal,2:normal,+,0.612
1783,1:anormal,2:normal,+,0.612
1784,2:normal,1:anormal,+,0.805
1785,2:normal,1:anormal,+,0.805
1786,2:normal,1:anormal,+,0.805
1787,2:normal,1:anormal,+,0.805
1788,1:anormal,1:anormal,,0.805
1789,1:anormal,1:anormal,,0.805
1790,2:normal,2:normal,,0.593
1791,2:normal,2:normal,,0.723
1792,2:normal,2:normal,,0.522
1793,2:normal,2:normal,,0.522
1794,2:normal,2:normal,,0.723
1795,2:normal,2:normal,,0.522
1796,2:normal,2:normal,,0.723
1797,2:normal,2:normal,,0.593
1798,2:normal,2:normal,,0.792
1799,2:normal,2:normal,,0.593
1800,2:normal,1:anormal,+,1
1801,2:normal,2:normal,,0.612
1802,2:normal,2:normal,,0.593
1803,2:normal,2:normal,,0.929
1804,2:normal,2:normal,,0.612
1805,2:normal,2:normal,,0.612
1806,2:normal,2:normal,,0.612
1807,2:normal,1:anormal,+,0.8
1808,2:normal,2:normal,,0.612
1809,2:normal,2:normal,,0.612
1810,2:normal,2:normal,,0.612
1811,2:normal,2:normal,,0.593
1812,2:normal,2:normal,,0.789
1813,2:normal,2:normal,,0.612
1814,2:normal,2:normal,,0.612
1815,2:normal,2:normal,,0.612
1816,2:normal,2:normal,,0.612
1817,2:normal,2:normal,,0.612
1818,2:normal,2:normal,,0.593
1819,2:normal,2:normal,,0.593
1820,2:normal,2:normal,,0.593
1821,2:normal,2:normal,,0.792
1822,2:normal,2:normal,,0.593
1823,2:normal,2:normal,,0.593
1824,2:normal,2:normal,,0.593
1825,2:normal,2:normal,,0.593
1826,2:normal,2:normal,,0.792
1827,2:normal,2:normal,,0.593
1828,2:normal,2:normal,,0.593
1829,2:normal,2:normal,,0.792
1830,2:normal,2:normal,,0.593
1831,2:normal,2:normal,,0.792
1832,1:anormal,1:anormal,,1
1833,1:anormal,2:normal,+,0.67
1834,2:normal,2:normal,,0.514
1835,2:normal,2:normal,,0.514
1836,2:normal,1:anormal,+,0.565
1837,2:normal,1:anormal,+,0.565
1838,2:normal,1:anormal,+,0.565
1839,2:normal,1:anormal,+,0.783
1840,1:anormal,1:anormal,,0.783
1841,2:normal,2:normal,,0.671
1842,2:normal,2:normal,,0.594
1843,2:normal,2:normal,,0.671
1844,2:normal,2:normal,,0.514
1845,2:normal,2:normal,,0.514
1846,2:normal,2:normal,,0.671
1847,2:normal,2:normal,,0.514
1848,2:normal,2:normal,,0.671
1849,2:normal,2:normal,,0.514
1850,2:normal,2:normal,,0.514
1851,2:normal,2:normal,,0.671
1852,2:normal,2:normal,,0.514
1853,2:normal,2:normal,,0.514
1854,2:normal,2:normal,,0.671
1855,2:normal,2:normal,,0.514
1856,2:normal,2:normal,,0.514
1857,2:normal,2:normal,,0.671
1858,2:normal,2:normal,,0.514
1859,2:normal,2:normal,,0.671
1860,2:normal,2:normal,,0.514
1861,2:normal,2:normal,,0.671
1862,2:normal,1:anormal,+,0.565
1863,2:normal,1:anormal,+,0.565
1864,1:anormal,1:anormal,,0.565
1865,1:anormal,1:anormal,,0.565
1866,2:normal,1:anormal,+,0.805
1867,2:normal,1:anormal,+,0.805
1868,1:anormal,1:anormal,,0.805
1869,2:normal,1:anormal,+,0.565
1870,2:normal,2:normal,,0.612
1871,2:normal,1:anormal,+,0.565
1872,2:normal,2:normal,,0.612
1873,2:normal,2:normal,,0.612
1874,2:normal,2:normal,,0.612
1875,2:normal,1:anormal,+,0.565
1876,2:normal,2:normal,,0.612
1877,2:normal,2:normal,,0.612
1878,2:normal,2:normal,,0.593
1879,2:normal,2:normal,,0.593
1880,2:normal,2:normal,,0.593
1881,2:normal,1:anormal,+,0.565
1882,2:normal,2:normal,,0.593
1883,2:normal,2:normal,,0.522
1884,2:normal,2:normal,,0.522
1885,1:anormal,2:normal,+,0.522
1886,1:anormal,2:normal,+,0.522
1887,2:normal,2:normal,,0.522
1888,1:anormal,2:normal,+,0.522
1889,1:anormal,2:normal,+,0.534
1890,2:normal,2:normal,,0.534
1891,2:normal,2:normal,,0.534
1892,2:normal,2:normal,,0.655
1893,2:normal,2:normal,,0.534
1894,2:normal,2:normal,,0.534
1895,2:normal,2:normal,,0.655
1896,2:normal,2:normal,,0.534
1897,2:normal,2:normal,,0.655
1898,2:normal,2:normal,,0.534
1899,2:normal,2:normal,,0.655
1900,2:normal,2:normal,,0.534
1901,2:normal,2:normal,,0.655
1902,2:normal,2:normal,,0.534
1903,2:normal,2:normal,,0.655
1904,2:normal,2:normal,,0.534
1905,2:normal,2:normal,,0.655
1906,2:normal,2:normal,,0.879
1907,1:anormal,2:normal,+,0.654
1908,1:anormal,2:normal,+,0.654
1909,2:normal,2:normal,,0.654
1910,2:normal,1:anormal,+,0.805
1911,2:normal,1:anormal,+,0.805
1912,1:anormal,1:anormal,,0.805
1913,2:normal,2:normal,,0.723
1914,2:normal,2:normal,,0.654
1915,2:normal,2:normal,,0.593
1916,2:normal,2:normal,,0.792
1917,2:normal,2:normal,,0.792
1918,2:normal,2:normal,,0.514
1919,2:normal,2:normal,,0.612
1920,2:normal,2:normal,,0.514
1921,2:normal,2:normal,,0.514
1922,2:normal,2:normal,,0.594
1923,2:normal,2:normal,,0.594
1924,2:normal,2:normal,,0.612
1925,2:normal,2:normal,,0.594
1926,2:normal,2:normal,,0.594
1927,2:normal,2:normal,,0.594
1928,2:normal,2:normal,,0.671
1929,2:normal,2:normal,,0.67
1930,2:normal,2:normal,,0.67
1931,2:normal,2:normal,,0.671
1932,2:normal,2:normal,,0.789
1933,2:normal,1:anormal,+,0.595
1934,2:normal,2:normal,,0.602
1935,2:normal,2:normal,,0.581
1936,2:normal,2:normal,,0.602
1937,2:normal,2:normal,,0.581
1938,2:normal,1:anormal,+,0.789
1939,2:normal,2:normal,,0.581
1940,2:normal,2:normal,,0.579
1941,2:normal,2:normal,,0.581
1942,2:normal,2:normal,,0.713
1943,2:normal,2:normal,,0.581
1944,2:normal,2:normal,,0.742
1945,2:normal,1:anormal,+,0.908
1946,1:anormal,1:anormal,,0.908
1947,2:normal,2:normal,,0.713
1948,2:normal,2:normal,,0.713
1949,2:normal,2:normal,,0.713
1950,2:normal,2:normal,,0.713
1951,2:normal,2:normal,,0.579
1952,1:anormal,1:anormal,,0.789
1953,2:normal,2:normal,,0.602
1954,2:normal,2:normal,,0.602
1955,2:normal,2:normal,,0.602
1956,1:anormal,1:anormal,,0.969
1957,2:normal,2:normal,,0.671
1958,2:normal,2:normal,,0.671
1959,2:normal,2:normal,,0.671
1960,2:normal,2:normal,,0.671
1961,2:normal,1:anormal,+,0.857
1962,1:anormal,1:anormal,,0.857
1963,2:normal,2:normal,,0.612
1964,2:normal,2:normal,,0.612
1965,2:normal,2:normal,,0.612
1966,1:anormal,1:anormal,,0.878
1967,2:normal,1:anormal,+,0.878
1968,1:anormal,1:anormal,,0.864
1969,2:normal,1:anormal,+,0.864
1970,1:anormal,1:anormal,,0.824
1971,2:normal,1:anormal,+,0.824
1972,1:anormal,2:normal,+,0.534
1973,2:normal,2:normal,,0.879
1974,2:normal,2:normal,,0.879
1975,2:normal,2:normal,,0.879
1976,2:normal,2:normal,,0.879
1977,2:normal,2:normal,,0.744
1978,2:normal,2:normal,,0.744
1979,2:normal,2:normal,,0.723
1980,2:normal,2:normal,,0.723
1981,2:normal,2:normal,,0.792
1982,2:normal,2:normal,,0.514
1983,1:anormal,2:normal,+,0.514
1984,1:anormal,2:normal,+,0.514
1985,2:normal,2:normal,,0.594
1986,2:normal,2:normal,,0.612
1987,2:normal,2:normal,,0.594
1988,2:normal,2:normal,,0.594
1989,2:normal,2:normal,,0.612
1990,2:normal,2:normal,,0.594
1991,2:normal,2:normal,,0.671
1992,2:normal,2:normal,,0.594
1993,2:normal,2:normal,,0.514
1994,2:normal,2:normal,,0.671
1995,2:normal,2:normal,,0.514
1996,2:normal,2:normal,,0.671
1997,2:normal,2:normal,,0.514
1998,2:normal,2:normal,,0.514
1999,2:normal,1:anormal,+,0.969
2000,2:normal,2:normal,,0.514
2001,2:normal,2:normal,,0.602
2002,2:normal,2:normal,,0.514
2003,2:normal,2:normal,,0.602
2004,2:normal,2:normal,,0.602
2005,2:normal,2:normal,,0.514
2006,2:normal,2:normal,,0.671
2007,2:normal,2:normal,,0.514
2008,2:normal,2:normal,,0.671
2009,2:normal,2:normal,,0.671
2010,1:anormal,2:normal,+,0.612
2011,2:normal,1:anormal,+,0.783
2012,2:normal,2:normal,,0.671
2013,2:normal,2:normal,,0.612
2014,1:anormal,2:normal,+,0.612
2015,1:anormal,2:normal,+,0.612
2016,2:normal,2:normal,,0.514
2017,2:normal,2:normal,,0.612
2018,2:normal,2:normal,,0.612
2019,2:normal,2:normal,,0.612
2020,2:normal,2:normal,,0.612
2021,2:normal,2:normal,,0.593
2022,2:normal,2:normal,,0.593
2023,2:normal,2:normal,,0.593
2024,2:normal,2:normal,,0.522
2025,2:normal,2:normal,,0.654
2026,2:normal,2:normal,,0.522
2027,2:normal,2:normal,,0.522
2028,2:normal,2:normal,,0.522
2029,2:normal,2:normal,,0.522
2030,2:normal,2:normal,,0.654
2031,2:normal,2:normal,,0.522
2032,2:normal,2:normal,,0.522
2033,2:normal,2:normal,,0.534
2034,2:normal,2:normal,,0.654
2035,2:normal,1:anormal,+,0.824
2036,1:anormal,2:normal,+,0.534
2037,2:normal,2:normal,,0.744
2038,2:normal,1:anormal,+,0.805
2039,2:normal,1:anormal,+,0.805
2040,1:anormal,1:anormal,,0.805
2041,1:anormal,1:anormal,,0.805
2042,2:normal,2:normal,,0.654
2043,2:normal,2:normal,,0.534
2044,2:normal,2:normal,,0.744
2045,2:normal,2:normal,,0.534
2046,2:normal,2:normal,,0.534
2047,2:normal,2:normal,,0.744
2048,2:normal,1:anormal,+,0.824
2049,2:normal,2:normal,,0.744
2050,2:normal,2:normal,,0.522
2051,2:normal,2:normal,,0.723
2052,2:normal,2:normal,,0.723
2053,2:normal,2:normal,,0.593
2054,2:normal,2:normal,,0.792
2055,2:normal,2:normal,,0.593
2056,2:normal,2:normal,,0.593
2057,2:normal,2:normal,,0.792
2058,2:normal,2:normal,,0.593
2059,2:normal,2:normal,,0.89
2060,2:normal,2:normal,,0.612
2061,2:normal,2:normal,,0.89
2062,2:normal,2:normal,,0.612
2063,2:normal,2:normal,,0.594
2064,2:normal,2:normal,,0.612
2065,2:normal,2:normal,,0.612
2066,2:normal,2:normal,,0.67
2067,2:normal,2:normal,,0.612
2068,2:normal,2:normal,,0.612
2069,2:normal,2:normal,,0.612
2070,2:normal,2:normal,,0.67
2071,2:normal,2:normal,,0.612
2072,2:normal,2:normal,,0.612
2073,2:normal,2:normal,,0.612
2074,2:normal,2:normal,,0.612
2075,1:anormal,2:normal,+,0.612
2076,2:normal,2:normal,,0.514
2077,2:normal,2:normal,,0.612
2078,2:normal,2:normal,,0.612
2079,2:normal,2:normal,,0.612
2080,2:normal,2:normal,,0.593
2081,2:normal,2:normal,,0.593
2082,2:normal,2:normal,,0.593
2083,2:normal,2:normal,,0.593
2084,2:normal,2:normal,,0.792
2085,2:normal,2:normal,,0.792
2086,1:anormal,2:normal,+,0.792
2087,1:anormal,2:normal,+,0.514
2088,2:normal,2:normal,,0.593
2089,2:normal,2:normal,,0.593
2090,2:normal,2:normal,,0.792
2091,2:normal,2:normal,,0.593
2092,2:normal,2:normal,,0.593
2093,2:normal,2:normal,,0.792
2094,2:normal,2:normal,,0.593
2095,2:normal,2:normal,,1
2096,2:normal,2:normal,,0.612
2097,2:normal,2:normal,,0.593
2098,2:normal,2:normal,,1
2099,2:normal,2:normal,,0.612
2100,2:normal,1:anormal,+,0.667
2101,2:normal,2:normal,,0.593
2102,2:normal,2:normal,,0.89
2103,2:normal,2:normal,,0.594
2104,2:normal,2:normal,,0.612
2105,2:normal,2:normal,,0.594
2106,2:normal,2:normal,,0.612
2107,2:normal,2:normal,,0.514
2108,2:normal,2:normal,,0.514
2109,2:normal,2:normal,,0.612
2110,2:normal,2:normal,,0.514
2111,2:normal,2:normal,,0.612
2112,2:normal,2:normal,,0.514
2113,2:normal,2:normal,,0.514
2114,2:normal,2:normal,,0.671
2115,2:normal,2:normal,,0.514
2116,2:normal,2:normal,,0.514
2117,2:normal,2:normal,,0.612
2118,1:anormal,2:normal,+,0.612
2119,1:anormal,2:normal,+,0.612
2120,2:normal,1:anormal,+,0.805
2121,2:normal,1:anormal,+,0.805
2122,2:normal,1:anormal,+,0.783
2123,1:anormal,1:anormal,,0.783
2124,2:normal,2:normal,,0.514
2125,2:normal,2:normal,,0.671
2126,2:normal,1:anormal,+,0.565
2127,2:normal,1:anormal,+,0.565
2128,2:normal,2:normal,,0.671
2129,2:normal,2:normal,,0.671
2130,2:normal,1:anormal,+,0.565
2131,2:normal,2:normal,,0.671
2132,2:normal,1:anormal,+,0.565
2133,2:normal,2:normal,,0.671
2134,2:normal,1:anormal,+,0.565
2135,2:normal,2:normal,,0.671
2136,2:normal,2:normal,,0.612
2137,2:normal,2:normal,,0.612
2138,2:normal,1:anormal,+,0.565
2139,2:normal,2:normal,,0.612
2140,2:normal,2:normal,,0.612
2141,1:anormal,2:normal,+,0.612
2142,1:anormal,2:normal,+,0.612
2143,2:normal,2:normal,,0.612
2144,1:anormal,2:normal,+,0.612
2145,1:anormal,2:normal,+,0.612
2146,2:normal,2:normal,,0.593
2147,2:normal,2:normal,,0.593
2148,2:normal,2:normal,,0.593
2149,2:normal,1:anormal,+,0.565
2150,2:normal,2:normal,,0.593
2151,2:normal,2:normal,,0.593
2152,2:normal,2:normal,,0.593
2153,2:normal,2:normal,,0.522
2154,2:normal,2:normal,,0.534
2155,2:normal,2:normal,,0.655
2156,2:normal,2:normal,,0.534
2157,2:normal,2:normal,,0.534
2158,2:normal,2:normal,,0.655
2159,2:normal,2:normal,,0.534
2160,2:normal,2:normal,,0.655
2161,2:normal,2:normal,,0.534
2162,1:anormal,2:normal,+,0.534
2163,2:normal,2:normal,,0.655
2164,2:normal,1:anormal,+,0.805
2165,1:anormal,1:anormal,,0.805
2166,1:anormal,1:anormal,,0.805
2167,2:normal,2:normal,,0.655
2168,2:normal,2:normal,,0.534
2169,2:normal,2:normal,,0.655
2170,2:normal,2:normal,,0.879
2171,2:normal,2:normal,,0.534
2172,2:normal,2:normal,,0.654
2173,2:normal,2:normal,,0.654
2174,2:normal,1:anormal,+,0.824
2175,2:normal,2:normal,,0.654
2176,2:normal,2:normal,,0.654
2177,2:normal,2:normal,,0.654
2178,2:normal,2:normal,,0.522
2179,2:normal,2:normal,,0.723
2180,2:normal,2:normal,,0.723
2181,2:normal,2:normal,,0.792
2182,2:normal,2:normal,,0.593
2183,2:normal,2:normal,,0.514
2184,2:normal,2:normal,,0.514
2185,2:normal,2:normal,,0.594
2186,2:normal,2:normal,,0.594
2187,2:normal,2:normal,,0.612
2188,2:normal,2:normal,,0.594
2189,2:normal,2:normal,,0.594
2190,2:normal,2:normal,,0.594
2191,2:normal,2:normal,,0.612
2192,2:normal,2:normal,,0.67
2193,1:anormal,2:normal,+,0.67
2194,1:anormal,2:normal,+,0.67
2195,2:normal,2:normal,,0.514
2196,2:normal,2:normal,,0.923
2197,2:normal,2:normal,,0.514
2198,2:normal,1:anormal,+,0.667
2199,2:normal,1:anormal,+,0.667
2200,2:normal,1:anormal,+,0.667
2201,2:normal,2:normal,,0.559
2202,2:normal,2:normal,,0.559
2203,2:normal,2:normal,,0.67
2204,2:normal,2:normal,,0.67
2205,2:normal,2:normal,,0.789
2206,2:normal,2:normal,,0.524
2207,2:normal,2:normal,,0.581
2208,2:normal,1:anormal,+,0.576
2209,2:normal,2:normal,,0.581
2210,2:normal,2:normal,,0.581
2211,1:anormal,2:normal,+,0.581
2212,2:normal,2:normal,,0.581
2213,2:normal,1:anormal,+,0.576
2214,2:normal,1:anormal,+,0.576
2215,2:normal,1:anormal,+,0.576
2216,1:anormal,1:anormal,,0.576
2217,2:normal,1:anormal,+,0.576
2218,2:normal,1:anormal,+,0.576
2219,2:normal,1:anormal,+,0.576
2220,1:anormal,1:anormal,,0.576
2221,2:normal,1:anormal,+,0.576
2222,2:normal,1:anormal,+,0.576
2223,2:normal,2:normal,,0.742
2224,2:normal,2:normal,,0.713
2225,2:normal,2:normal,,0.713
2226,1:anormal,2:normal,+,0.579
2227,2:normal,1:anormal,+,0.789
2228,2:normal,2:normal,,0.602
2229,2:normal,2:normal,,0.602
2230,1:anormal,2:normal,+,0.671
2231,2:normal,2:normal,,0.671
2232,1:anormal,2:normal,+,0.671
2233,2:normal,2:normal,,0.671
2234,2:normal,1:anormal,+,0.783
2235,2:normal,2:normal,,0.671
2236,2:normal,2:normal,,0.612
2237,2:normal,1:anormal,+,0.783
2238,2:normal,1:anormal,+,0.783
2239,2:normal,2:normal,,0.671
2240,2:normal,1:anormal,+,0.783
2241,2:normal,2:normal,,0.612
2242,2:normal,1:anormal,+,0.703
2243,2:normal,2:normal,,0.612
2244,2:normal,2:normal,,0.789
2245,2:normal,2:normal,,0.67
2246,2:normal,2:normal,,0.612
2247,2:normal,2:normal,,0.67
2248,2:normal,2:normal,,0.594
2249,2:normal,2:normal,,0.671
2250,2:normal,2:normal,,0.594
2251,2:normal,2:normal,,0.594
2252,2:normal,2:normal,,0.671
2253,2:normal,2:normal,,0.594
2254,2:normal,2:normal,,0.671
2255,2:normal,2:normal,,0.594
2256,2:normal,2:normal,,0.514
2257,2:normal,2:normal,,0.602
2258,2:normal,2:normal,,0.514
2259,2:normal,2:normal,,0.602
2260,2:normal,2:normal,,0.514
2261,2:normal,2:normal,,0.514
2262,2:normal,1:anormal,+,0.789
2263,2:normal,1:anormal,+,0.667
2264,1:anormal,1:anormal,,0.667
2265,2:normal,2:normal,,0.514
2266,2:normal,1:anormal,+,0.565
2267,2:normal,1:anormal,+,0.565
2268,2:normal,1:anormal,+,0.565
2269,2:normal,2:normal,,0.602
2270,1:anormal,2:normal,+,0.602
2271,1:anormal,2:normal,+,0.671
2272,2:normal,2:normal,,0.671
2273,2:normal,2:normal,,0.594
2274,2:normal,2:normal,,0.671
2275,2:normal,2:normal,,0.594
2276,2:normal,2:normal,,0.671
2277,2:normal,2:normal,,0.594
2278,2:normal,2:normal,,0.671
2279,2:normal,2:normal,,0.612
2280,2:normal,2:normal,,0.67
2281,2:normal,2:normal,,0.612
2282,2:normal,2:normal,,0.612
2283,2:normal,2:normal,,0.612
2284,2:normal,2:normal,,0.67
2285,2:normal,2:normal,,0.612
2286,2:normal,2:normal,,0.612
2287,2:normal,2:normal,,0.612
2288,2:normal,2:normal,,0.612
2289,2:normal,2:normal,,0.789
2290,2:normal,2:normal,,0.612
2291,2:normal,2:normal,,0.612
2292,2:normal,2:normal,,0.612
2293,2:normal,2:normal,,0.612
2294,2:normal,2:normal,,0.612
2295,2:normal,2:normal,,0.593
2296,2:normal,2:normal,,0.593
2297,2:normal,2:normal,,0.522
2298,2:normal,1:anormal,+,0.706
2299,2:normal,2:normal,,0.593
2300,2:normal,2:normal,,0.593
2301,2:normal,2:normal,,0.593
2302,2:normal,2:normal,,0.593
2303,2:normal,2:normal,,0.792
2304,2:normal,2:normal,,0.593
2305,2:normal,2:normal,,0.593
2306,2:normal,2:normal,,0.792
2307,2:normal,2:normal,,0.593
2308,2:normal,2:normal,,0.792
2309,2:normal,2:normal,,0.593
2310,2:normal,2:normal,,0.593
2311,2:normal,2:normal,,0.792
2312,2:normal,1:anormal,+,0.783
2313,1:anormal,1:anormal,,0.783
2314,2:normal,1:anormal,+,0.565
2315,2:normal,1:anormal,+,0.565
2316,2:normal,2:normal,,0.594
2317,2:normal,1:anormal,+,0.565
2318,2:normal,1:anormal,+,0.565
2319,1:anormal,1:anormal,,0.565
2320,2:normal,1:anormal,+,0.783
2321,2:normal,2:normal,,0.514
2322,2:normal,2:normal,,0.514
2323,2:normal,2:normal,,0.671
